INLINE WalkingSoundTable,Sound
0x0,0
UpstartM,Walk
UpstartF,Walk
0x3,Horse
0x4,Horse
0x5,Horse
BunnyRecruit,Walk
0x7,Horse
0x8,Horse
0x9,Armor
LowVoice,Mogall
0xb,Armor
Headsman,Walk
0xd,Walk
0xe,Walk
0xf,Walk
0x10,Armor
0x11,Walk
0x12,Walk
0x13,Walk
0x14,Walk
0x15,Walk
0x16,Walk
0x17,Walk
0x18,Walk
0x19,Walk
0x1a,Walk
0x1b,Walk
0x1c,Walk
0x1d,Horse
0x1e,Horse
0x1f,Wyvern
0x20,Wyvern
0x21,Wyvern
0x22,Wyvern
0x23,Wyvern
0x24,Wyvern
0x25,Walk
0x26,Walk
0x27,Walk
0x28,Walk
0x29,Horse
0x2a,Horse
0x2b,Walk
0x2c,Walk
0x2d,Walk
0x2e,Walk
0x2f,Walk
0x30,Walk
0x31,Walk
0x32,Walk
0x33,Walk
0x34,Walk
0x35,Armor
0x36,Armor
0x37,Walk
0x38,Walk
0x39,Walk
0x3a,Walk
0x3b,Walk
0x3c,ManaketeF
0x3d,Walk
0x3e,Walk
0x3f,Walk
0x40,Walk
0x41,Walk
0x42,Walk
0x43,Walk
0x44,Walk
0x45,Walk
0x46,Walk
0x47,Walk
0x48,Pegasus
0x49,Pegasus
0x4a,Walk
0x4b,Horse
0x4c,Horse
0x4d,Walk
0x4e,Walk
0x4f,Walk
0x50,Fleet
0x51,Mogall
0x52,Zombie
0x53,Zombie
0x54,Skeleton
0x55,Skeleton
0x56,Skeleton
0x57,Skeleton
0x58,Spider
0x59,Spider
0x5a,Walk
0x5b,Dog
0x5c,Dog
0x5d,Horse
0x5e,Horse
0x5f,Mogall
0x60,Mogall
0x61,Gorgon
0x62,Walk
0x63,Wyvern
0x64,Wyvern
0x65,Wyvern
0x66,Walk
0x67,Armor
0x68,Armor
0x69,Armor
0x6a,Armor
0x6b,Armor
0x6c,Armor
0x6d,Walk
0x6e,Walk
0x6f,Walk
0x70,Walk
0x71,Walk
0x72,Walk
0x73,Walk
0x74,Walk
0x75,Walk
Noble,Walk
SigilClass,Mogall
0x78,0
0x79,0
0x7a,Walk
0x7b,0
0x7c,0
0x7d,0
0x7e,Walk
0x7f,Walk
0x80,Pegasus
0x0,0
0x82,0
0x83,0
0x84,0
0x85,0
0x86,0
0x87,0
0x88,0
0x89,0
0x8a,0
0x8b,0
0x8c,0
0x8d,0
0x8e,0
0x8f,0
0x90,0
0x91,0
0x92,0
0x93,0
0x94,0
0x95,0
0x96,0
0x97,0
0x98,0
0x99,0
0x9a,0
0x9b,0
0x9c,0
0x9d,0
0x9e,0
0x9f,0
0xa0,0
0xa1,0
0xa2,0
0xa3,0
0xa4,0
0xa5,0
0xa6,0
0xa7,0
0xa8,0
0xa9,0
0xaa,0
0xab,0
0xac,0
0xad,0
0xae,0
0xaf,0
0xb0,0
0xb1,0
0xb2,0
0xb3,0
0xb4,0
0xb5,0
0xb6,0
0xb7,0
0xb8,0
0xb9,0
0xba,0
0xbb,0
0xbc,0
0xbd,0
0xbe,0
0xbf,0
0xc0,0
0xc1,0
0xc2,0
0xc3,0
0xc4,0
0xc5,0
0xc6,0
0xc7,0
0xc8,0
0xc9,0
0xca,0
0xcb,0
0xcc,0
0xcd,0
0xce,0
0xcf,0
0xd0,0
0xd1,0
0xd2,0
0xd3,0
0xd4,0
0xd5,0
0xd6,0
0xd7,0
0xd8,0
0xd9,0
0xda,0
0xdb,0
0xdc,0
0xdd,0
0xde,0
0xdf,0
0xe0,0
0xe1,0
0xe2,0
0xe3,0
0xe4,0
0xe5,0
0xe6,0
0xe7,0
0xe8,0
0xe9,0
0xea,0
0xeb,0
0xec,0
0xed,0
0xee,0
0xef,0
0xf0,0
0xf1,0
0xf2,0
0xf3,0
0xf4,0
0xf5,0
0xf6,0
0xf7,0
0xf8,0
0xf9,0
0xfa,0
0xfb,0
0xfc,0
0xfd,0
0xfe,0
